id,correct_answer,distractor_1,distractor_2,distractor_3,topic_match_count,context_snippet
37,a stone's throw away,on the fence,off the beaten track,hit the road,2,"from my flat, you can see it from my living room window."
38,sit tight,bite the hand that feeds you,beat around the bush,bury the hatchet,0,
39,play it by ear,up in the air,look before you leap,take the plunge,3,
40,turn a blind eye,step up to the plate,wash your hands of something,the ball is in your court,3,
41,a stone's throw away,back to square one,off the beaten track,hit the road,2,
42,bite the bullet,bite off more than you can chew,call the shots,go the extra mile,1,and tell my sister I ripped the top I borrowed from her.
43,judge a book by its cover,green thumb,look before you leap,down on your luck,0,
44,judge a book by its cover,blow off steam,beat the clock,once in a blue moon,0,
45,turn a blind eye,the ball is in your court,step up to the plate,wash your hands of something,3,
46,pull your socks up,break the ice,go the extra mile,on the fence,1,
47,hold your horses,curiosity killed the cat,the lion's share,out of sorts,1,
48,cold turkey,under the weather,fit as a fiddle,black eye,3,
49,kill two birds with one stone,the early bird catches the worm,beat around the bush,straight from the horse's mouth,0,
50,beat around the bush,speak of the devil,spill the beans,make a long story short,3,
51,spill the beans,barking up the wrong tree,speak of the devil,keep something under wraps,3,
52,off the beaten track,a stone's throw away,once in a blue moon,hit the road,2,
53,cost an arm and a leg,money doesn't grow on trees,pay through the nose,penny-wise and pound-foolish,2,
54,off the beaten track,better late than never,hit the road,a stone's throw away,2,that I get lost every time I visit them.
55,play it by ear,up in the air,on the fence,take the plunge,3,
56,a stone's throw away,hit the road,off the beaten track,kick the bucket,2,"from my flat, you can see it from my living room window."
57,a stone's throw away,throw in the towel,hit the road,off the beaten track,2,
58,turn a blind eye,wash your hands of something,the ball is in your court,step up to the plate,3,
59,hold your horses,turning the tables,the lion's share,curiosity killed the cat,1,
60,off the beaten track,hit the road,hit it off,a stone's throw away,2,
61,beat around the bush,make a long story short,barking up the wrong tree,let the cat out of the bag,3,
62,cut the mustard,back to square one,back to the drawing board,a blessing in disguise,3,
63,bring home the bacon,cut corners,"jack of all trades, master of none",working your fingers to the bone,3,
64,cold turkey,out of sorts,under the weather,back on your feet,3,
65,sit tight,green thumb,the ball is in your court,apple of one's eye,0,
66,beat around the bush,keep something under wraps,barking up the wrong tree,speak of the devil,3,
67,bite off more than you can chew,bite the bullet,burn out,walk on very thin ice,1,
68,turn a blind eye,the ball is in your court,step up to the plate,wash your hands of something,3,
69,sit tight,beat the clock,wear your heart on your sleeve,wash your hands of something,0,and wait until it's my turn to be served.
70,hit the nail on the head,beat around the bush,keep something under wraps,straight from the horse's mouth,2,
71,cut the mustard,back to square one,piece of cake,back to the drawing board,3,
72,play it by ear,up in the air,take the plunge,look before you leap,3,
73,kill two birds with one stone,call the shots,hit the sack,sit tight,0,
74,a stone's throw away,hit the road,off the beaten track,let bygones be bygones,2,
75,off the beaten track,hit the road,a stone's throw away,the ball is in your court,2,
76,beat around the bush,straight from the horse's mouth,break the ice,make a long story short,2,- I came here to tell you that I am in love you with you.
77,tie the knot,through thick and thin,birds of a feather flock together,let bygones be bygones,3,""" is the same meaning as ""tie the wedding"". | - we're not ready to go yet, we're still waiting for your mum."
78,hold your horses,curiosity killed the cat,the lion's share,"blood, sweat, and tears",1,
79,cut the mustard,piece of cake,the early bird catches the worm,a blessing in disguise,3,
80,kill two birds with one stone,between a rock and a hard place,bury the hatchet,back to the drawing board,0,
81,bite the bullet,beat around the bush,bite off more than you can chew,bite the hand that feeds you,1,
82,a stone's throw away,hit the road,playing with fire,off the beaten track,2,
83,cut the mustard,back to the drawing board,piece of cake,throw in the towel,3,
84,play it by ear,on the fence,look before you leap,up in the air,3,
85,turn a blind eye,step up to the plate,wash your hands of something,the ball is in your court,3,
86,kill two birds with one stone,the ship has sailed,cut corners,birds of a feather flock together,0,
87,bring home the bacon,call it a day,"blood, sweat, and tears",climb the ladder,3,
88,judge a book by its cover,rain on someone's parade,take the plunge,bite off more than you can chew,0,
89,play it by ear,on the fence,up in the air,look before you leap,3,
90,hit the nail on the head,barking up the wrong tree,beat around the bush,keep something under wraps,3,with that explanation - that's exactly what Pythagoras' Theorem is used for.
91,hit the nail on the head,barking up the wrong tree,take with a grain of salt,speak of the devil,3,
92,back to square one,piece of cake,the early bird catches the worm,turning the tables,3,
93,judge a book by its cover,under the weather,once in a blue moon,keep your eyes peeled,0,
94,cut the mustard,piece of cake,a blessing in disguise,throw in the towel,3,
95,bite the bullet,burn the midnight oil,bite off more than you can chew,off the beaten track,1,and tell my sister I ripped the top I borrowed from her.
96,kill two birds with one stone,working your fingers to the bone,hold your horses,keep your eyes peeled,0,
97,beat around the bush,actions speak louder than words,take with a grain of salt,speak of the devil,3,
98,cold turkey,under the weather,out of sorts,burn out,3,
99,back to square one,throw in the towel,a blessing in disguise,back to the drawing board,3,
100,a stone's throw away,hit the road,off the beaten track,throw caution to the wind,2,"from my flat, you can see it from my living room window."
